category,id,displayName,prompt
imagination,NA-FLUX-Cyberpunk,"NA-FLUX-Cyberpunk","Hyper-futuristic megalopolis bathed in pulsating neon. Towering skyscrapers with holographic billboards. Streets teeming with hover vehicles and augmented humans. Inspired by Syd Mead, Blade Runner, and Ghost in the Shell. Intense contrast between deep shadows and vibrant, electric colors - think electric blue, acid green, and hot pink. Rain-slicked streets reflecting neon signs. Intricate technological details and cybernetic enhancements. Gritty, noir atmosphere with a high-tech twist."
imagination,NA-FLUX-Steampunk Victorian,"NA-FLUX-Steampunk Victorian","Alternate 19th century with advanced steam-powered technology. Ornate brass and copper machinery, gears, and clockwork. Victorian fashion with a mechanical twist - top hats, corsets, and goggles. Dirigibles and steam-powered vehicles. Rich, warm color palette with shades of brown, gold, and sepia. Elaborate architectural details with wrought iron and stained glass. Mysterious laboratories filled with Tesla coils and strange inventions. Inspired by Jules Verne, H.G. Wells, and the industrial revolution."
imagination,NA-FLUX-Cosmic Horror,"NA-FLUX-Cosmic Horror","Lovecraftian nightmares and incomprehensible cosmic entities. Tentacled monstrosities emerging from dimensional rifts. Impossible geometries and non-Euclidean architecture. Eerie, otherworldly landscapes with alien flora. Cultists performing eldritch rituals under ominous skies. Dark, muted color palette with occasional splashes of sickly greens and purples. Ancient, forbidden tomes filled with maddening knowledge. Atmosphere of dread, paranoia, and insignificance in the face of the unknown."
imagination,NA-FLUX-Art Nouveau,"NA-FLUX-Art Nouveau","Elegant, organic forms inspired by nature. Flowing, sinuous lines and whiplash curves. Intricate floral patterns and stylized plant motifs. Graceful figures with long, flowing hair. Stained glass windows with complex designs. Rich, jewel-tone colors - emerald green, sapphire blue, and amethyst purple. Ornate metalwork with delicate, intertwining shapes. Inspired by Alphonse Mucha, Gustav Klimt, and the natural world. Romantic, dreamy atmosphere with a touch of mysticism."
imagination,NA-FLUX-Retrofuturism,"NA-FLUX-Retrofuturism","1950s and 60s vision of the future. Sleek, aerodynamic designs with fins and chrome details. Flying cars and personal jetpacks. Atomic age optimism meets space-age technology. Bold, saturated colors - cherry red, turquoise, and sunshine yellow. Futuristic cityscapes with monorails and bubble-topped buildings. Robots as household helpers and companions. Inspired by The Jetsons, pulp sci-fi covers, and mid-century modern design. Optimistic and playful atmosphere with a touch of nostalgia."
imagination,NA-FLUX-Dark Fantasy,"NA-FLUX-Dark Fantasy","Grim and foreboding fantasy world. Ancient castles shrouded in mist and perched on craggy cliffs. Twisted forests filled with gnarled trees and lurking shadows. Fearsome dragons and mythical beasts. Brooding anti-heroes in battle-worn armor. Ominous skies with swirling storm clouds. Rich, deep color palette - blood red, midnight blue, and obsidian black. Inspired by Gothic architecture, medieval legends, and modern dark fantasy literature. Atmosphere of danger, mystery, and barely contained magic."
imagination,NA-FLUX-Vaporwave,"NA-FLUX-Vaporwave","Nostalgic 1980s and 90s aesthetics meets digital surrealism. Glitchy, pixelated imagery and old computer interfaces. Pastel color palette with lots of pink, teal, and purple. Ancient Greek and Roman statues juxtaposed with modern technology. Palm trees, sunsets, and tropical imagery. Retro consumer electronics and early internet iconography. Inspired by early computer graphics, muzak, and postmodern design. Dreamy, melancholic atmosphere with a critique of consumer culture."
imagination,NA-FLUX-Biomechanical,"NA-FLUX-Biomechanical","Fusion of organic forms and mechanical structures. Intricate, alien-like machinery with a biological twist. Tubes, pipes, and wires intertwined with flesh and bone. Hybrid creatures that are part machine, part organism. Dark, industrial color palette with occasional splashes of bioluminescent colors. Textures that mix smooth metal with organic, fleshy surfaces. Inspired by H.R. Giger, cyberpunk body modification, and speculative biotechnology. Unsettling, visceral atmosphere that blurs the line between life and machine."
imagination,NA-FLUX-Art Deco,"NA-FLUX-Art Deco","Glamorous, streamlined design from the 1920s and 30s. Bold geometric shapes and symmetrical patterns. Luxurious materials - gold, silver, and rich woods. Sleek, aerodynamic forms inspired by machines and speed. Stylized natural motifs like sunbursts and chevrons. Elegant figures in fashionable, flowing attire. Rich, bold color palette with lots of black and metallic accents. Inspired by skyscrapers, jazz age optimism, and exotic influences. Sophisticated, modern atmosphere with a touch of decadence."
imagination,NA-FLUX-Solarpunk,"NA-FLUX-Solarpunk","Optimistic vision of a sustainable, eco-friendly future. Lush vertical gardens and green architecture integrated with solar technology. Clean, renewable energy sources powering futuristic cities. Diverse communities living in harmony with nature. Bright, warm color palette with lots of greens and golds. Advanced but approachable technology designed to enhance human and environmental wellbeing. Inspired by art nouveau, afrofuturism, and climate positive innovations. Hopeful, community-oriented atmosphere that celebrates human ingenuity and natural beauty."
imagination,NA-FLUX-Ethereal Dreamscape,"NA-FLUX-Ethereal Dreamscape","Surreal, otherworldly landscapes of the subconscious mind. Floating islands and impossible structures defying gravity. Soft, diffused lighting creating a misty atmosphere. Symbolic imagery and recurring motifs from dreams and mythology. Pastel color palette with occasional vivid accents. Fluid, morphing shapes that blend and transform. Inspired by Salvador Dali, lucid dreaming, and spiritual visions. Dreamy, introspective atmosphere that blurs the line between reality and imagination."
imagination,NA-FLUX-Baroque Opulence,"NA-FLUX-Baroque Opulence","Lavish, ornate aesthetics of 17th and 18th century European art. Dramatic, theatrical compositions with dynamic movement. Rich, sumptuous fabrics and intricate patterns. Gold leaf, marble, and ornamental stucco work. Chiaroscuro lighting creating stark contrasts between light and shadow. Allegorical figures and religious iconography. Trompe l'oeil effects creating illusions of depth and grandeur. Inspired by Caravaggio, Rubens, and Bernini. Atmosphere of drama, emotion, and sensual excess."
imagination,NA-FLUX-Minimalist Zen,"NA-FLUX-Minimalist Zen","Stark, simplified compositions focusing on essential elements. Clean lines and geometric shapes. Vast negative space creating a sense of calm and balance. Monochromatic or limited color palette, often in neutral tones. Natural materials like stone, wood, and paper. Emphasis on texture and subtle variations in tone. Inspired by Japanese rock gardens, calligraphy, and modern minimalist art. Serene, meditative atmosphere that invites contemplation and inner peace."
imagination,NA-FLUX-Pop Art,"NA-FLUX-Pop Art","Bold, vibrant imagery inspired by popular culture and mass media. Bright, primary colors and thick, black outlines. Repetition of iconic images and consumer products. Ben-Day dots and halftone patterns. Comic book inspired graphics and text. Ironic juxtaposition of high and low culture. Inspired by Andy Warhol, Roy Lichtenstein, and 1960s advertising. Playful, energetic atmosphere that celebrates and critiques consumer society."
imagination,NA-FLUX-Dieselpunk,"NA-FLUX-Dieselpunk","Retro-futuristic aesthetic blending 1920s-1950s diesel technology with science fiction. Hulking, mechanical monstrosities powered by smoky engines. Art Deco and Streamline Moderne design influences. Gritty, industrial landscapes with imposing factories and pipelines. Rugged adventurers in leather jackets and aviator goggles. Muted color palette with occasional bursts of neon. Inspired by pulp adventure stories, film noir, and World War II technology. Atmosphere of gritty determination and mechanical ingenuity."
imagination,NA-FLUX-Psychedelic Surrealism,"NA-FLUX-Psychedelic Surrealism","Mind-bending, hallucinatory imagery that defies logic and reality. Vibrant, saturated colors in swirling, organic patterns. Morphing, liquid-like forms and impossible creatures. Fractal and mandala-inspired designs. Juxtaposition of disparate elements creating dreamlike scenes. Distorted perspectives and spatial anomalies. Inspired by 1960s counterculture, Hindu and Buddhist imagery, and altered states of consciousness. Trippy, disorienting atmosphere that challenges perception and expands the mind."
imagination,NA-FLUX-Glitch Art,"NA-FLUX-Glitch Art","Deliberate use of digital or analog errors to create unique visual effects. Distorted images with pixelation, fragmentation, and color shifts. Corrupted data visualized as abstract patterns and textures. Juxtaposition of recognizable imagery with digital artifacts. Vibrant, unnatural color palettes created by data manipulation. Inspired by early computer graphics, VHS errors, and digital experimentation. Atmosphere of technological unpredictability and the beauty of imperfection."
imagination,NA-FLUX-Eco-Gothic,"NA-FLUX-Eco-Gothic","Dark, brooding aesthetic that blends Gothic horror with environmental themes. Crumbling castles and Victorian mansions overgrown with wild vegetation. Eerie forests filled with twisted, sentient plants. Hybrid creatures merging human, animal, and plant forms. Moody, desaturated color palette with occasional splashes of bioluminescence. Ancient rituals and forgotten magic tied to the natural world. Inspired by eco-horror literature, dark romanticism, and climate anxiety. Atmosphere of creeping dread and nature's revenge against human exploitation."
imagination,NA-FLUX-Bauhaus Modernism,"NA-FLUX-Bauhaus Modernism","Functional, minimalist design philosophy from early 20th century Germany. Geometric shapes and clean lines emphasizing form follows function. Primary colors (red, blue, yellow) combined with black, white, and gray. Integration of art, craft, and technology. Typography as a key design element. Asymmetrical balance and grid-based compositions. Inspired by Walter Gropius, Wassily Kandinsky, and industrial design. Atmosphere of rational elegance and utopian ideals for a new age."
imagination,NA-FLUX-Retro Sci-Fi Pulp,"NA-FLUX-Retro Sci-Fi Pulp","Vintage science fiction aesthetics from 1930s-1950s pulp magazines and B-movies. Sleek rocket ships with fins and bubble cockpits. Brightly colored alien landscapes with multiple moons. Square-jawed heroes and scantily-clad space heroines. Ray guns, flying saucers, and improbable scientific gadgets. Bold, high-contrast color schemes with dramatic lighting. Inspired by Flash Gordon, Amazing Stories magazine, and early sci-fi film posters. Atmosphere of wide-eyed wonder and retro-futuristic adventure."
imagination,NA-FLUX-Dark Academia,"NA-FLUX-Dark Academia","Romantic, intellectual aesthetic centered around classical literature, art, and academia. Gothic and Baroque architecture of old universities and libraries. Vintage fashion with tweed, wool, and leather in muted earth tones. Stacks of antique books, burning candles, and old maps. Moody, low-key lighting with lots of shadows. Themes of forbidden knowledge, secret societies, and passionate scholarship. Inspired by classic literature, poet circles, and ivy league aesthetics. Atmosphere of melancholic intellectualism and romantic nostalgia."
imagination,NA-FLUX-Neon Noir,"NA-FLUX-Neon Noir","Contemporary twist on classic film noir, infused with vibrant neon colors. Rain-slicked city streets reflecting colorful neon signs. Silhouetted figures in fedoras and trench coats. Smoky interiors of seedy bars and nightclubs. High contrast lighting with deep shadows and bright neon accents. Femme fatales and hard-boiled detectives in a world of corruption. Inspired by Blade Runner, neo-noir films, and synthwave aesthetics. Atmosphere of urban isolation, moral ambiguity, and neon-drenched danger."
imagination,NA-FLUX-Atomic Age Optimism,"NA-FLUX-Atomic Age Optimism","1950s-60s vision of a utopian future powered by nuclear energy. Sleek, modernist architecture with boomerang shapes and starbursts. Cheerful suburban scenes with futuristic appliances and robots. Stylized atoms and nuclear symbols as decorative elements. Bright, saturated colors - teal, orange, and chartreuse. Smiling families enjoying the wonders of atomic-age technology. Inspired by mid-century modern design, World's Fair exhibitions, and vintage advertisements. Atmosphere of naive technological optimism and Cold War-era progress."
