name,prompt
"Photo (Default)","cinematic photo, 35mm photograph, film, bokeh, professional, 4k, highly detailed"
"photo-alien","alien-themed , extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed"
"photo-film noir","film noir style , monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic"
"photo-hdr","HDR photo of , High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed"
"photo-long exposure","long exposure photo of , Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed"
"photo-neon noir","neon noir , cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed"
"photo-silhouette","silhouette style , high contrast, minimalistic, black and white, stark, dramatic"
"photo-tilt-shift","tilt-shift photo of , Selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control"
"cinematic-diva","UHD, 8K, ultra detailed, a cinematic photograph of , beautiful lighting, great composition"
"cinematic-default","cinematic still, emotional, harmonious, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy"
"sai-3d-model","professional 3d model, octane render, highly detailed, volumetric, dramatic lighting"
"sai-analog film","analog film photo, faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage"
"sai-anime","anime artwork , anime style, key visual, vibrant, studio anime, highly detailed"
"sai-cinematic","cinematic film still , shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy"
"sai-comic book","comic , graphic illustration, comic art, graphic novel art, vibrant, highly detailed"
"sai-craft clay","play-doh style , sculpture, clay art, centered composition, Claymation"
"sai-digital art","concept art , digital artwork, illustrative, painterly, matte painting, highly detailed"
"sai-enhance","breathtaking , award-winning, professional, highly detailed"
"sai-fantasy art","ethereal fantasy concept art of , magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy"
"sai-isometric","isometric style , vibrant, beautiful, crisp, detailed, ultra detailed, intricate"
"sai-line art","line art drawing , professional, sleek, modern, minimalist, graphic, line art, vector graphics"
"sai-lowpoly","low-poly style , low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition"
"sai-neonpunk","neonpunk style , cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional"
"sai-origami","origami style , paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition"
"sai-photographic","cinematic photo , 35mm photograph, film, bokeh, professional, 4k, highly detailed"
"sai-pixel art","pixel-art , low-res, blocky, pixel art style, 8-bit graphics"
"ads-advertising","Advertising poster style , Professional, modern, product-focused, commercial, eye-catching, highly detailed"
"ads-automotive","Automotive advertisement style , Sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed"
"ads-corporate","Corporate branding style , Professional, clean, modern, sleek, minimalist, business-oriented, highly detailed"
"ads-fashion editorial","Fashion editorial style , High fashion, trendy, stylish, editorial, magazine style, professional, highly detailed"
"ads-food photography","Food photography style , Appetizing, professional, culinary, high-resolution, commercial, highly detailed"
"ads-luxury","Luxury product style , Elegant, sophisticated, high-end, luxurious, professional, highly detailed"
"ads-real estate","Real estate photography style , Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed"
"ads-retail","Retail packaging style , Vibrant, enticing, commercial, product-focused, eye-catching, professional, highly detailed"
"artstyle-abstract","abstract style , non-representational, colors and shapes, expression of feelings, imaginative, highly detailed"
"artstyle-abstract expressionism","abstract expressionist painting , energetic brushwork, bold colors, abstract forms, expressive, emotional"
"artstyle-art deco","Art Deco style , geometric shapes, bold colors, luxurious, elegant, decorative, symmetrical, ornate, detailed"
"artstyle-art nouveau","Art Nouveau style , elegant, decorative, curvilinear forms, nature-inspired, ornate, detailed"
"artstyle-constructivist","constructivist style , geometric shapes, bold colors, dynamic composition, propaganda art style"
"artstyle-cubist","cubist artwork , geometric shapes, abstract, innovative, revolutionary"
"artstyle-expressionist","expressionist , raw, emotional, dynamic, distortion for emotional effect, vibrant, use of unusual colors, detailed"
"artstyle-graffiti","graffiti style , street art, vibrant, urban, detailed, tag, mural"
"artstyle-hyperrealism","hyperrealistic art , extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike"
"artstyle-impressionist","impressionist painting , loose brushwork, vibrant color, light and shadow play, captures feeling over form"
"artstyle-pointillism","pointillism style , composed entirely of small, distinct dots of color, vibrant, highly detailed"
"artstyle-pop art","Pop Art style , bright colors, bold outlines, popular culture themes, ironic or kitsch"
"artstyle-psychedelic","psychedelic style , vibrant colors, swirling patterns, abstract forms, surreal, trippy"
"artstyle-renaissance","Renaissance style , realistic, perspective, light and shadow, religious or mythological themes, highly detailed"
"artstyle-steampunk","steampunk style , antique, mechanical, brass and copper tones, gears, intricate, detailed"
"artstyle-surrealist","surrealist art , dreamlike, mysterious, provocative, symbolic, intricate, detailed"
"artstyle-typography","typographic art , stylized, intricate, detailed, artistic, text-based"
"artstyle-watercolor","watercolor painting , vibrant, beautiful, painterly, detailed, textural, artistic"
"futuristic-biomechanical","biomechanical style , blend of organic and mechanical elements, futuristic, cybernetic, detailed, intricate"
"futuristic-biomechanical cyberpunk","biomechanical cyberpunk , cybernetics, human-machine fusion, dystopian, organic meets artificial, dark, intricate, highly detailed"
"futuristic-cybernetic","cybernetic style , futuristic, technological, cybernetic enhancements, robotics, artificial intelligence themes"
"futuristic-cybernetic robot","cybernetic robot , android, AI, machine, metal, wires, tech, futuristic, highly detailed"
"futuristic-cyberpunk cityscape","cyberpunk cityscape , neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed"
"futuristic-futuristic","futuristic style , sleek, modern, ultramodern, high tech, detailed"
"futuristic-retro cyberpunk","retro cyberpunk , 80's inspired, synthwave, neon, vibrant, detailed, retro futurism"
"futuristic-retro futurism","retro-futuristic , vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed"
"futuristic-sci-fi","sci-fi style , futuristic, technological, alien worlds, space themes, advanced civilizations"
"futuristic-vaporwave","vaporwave style , retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed"
"game-bubble bobble","Bubble Bobble style , 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of Bubble Bobble game"
"game-cyberpunk game","cyberpunk game style , neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, reminiscent of cyberpunk genre video games"
"game-fighting game","fighting game style , dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games"
"game-gta","GTA-style artwork , satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed"
"game-mario","Super Mario style , vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series"
"game-minecraft","Minecraft style , blocky, pixelated, vibrant colors, recognizable characters and objects, game assets"
"game-pokemon","Pokémon style , vibrant, cute, anime, fantasy, reminiscent of Pokémon series"
"game-retro arcade","retro arcade style , 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games"
"game-retro game","retro game art , 16-bit, vibrant colors, pixelated, nostalgic, charming, fun"
"game-rpg fantasy game","role-playing game (RPG) style fantasy , detailed, vibrant, immersive, reminiscent of high fantasy RPG games"
"game-strategy game","strategy game style , overhead view, detailed map, units, reminiscent of real-time strategy video games"
"game-streetfighter","Street Fighter style , vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series"
"game-zelda","Legend of Zelda style , vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series"
"misc-architectural","architectural style , clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed"
"misc-disco","disco-themed , vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed"
"misc-dreamscape","dreamscape , surreal, ethereal, dreamy, mysterious, fantasy, highly detailed"
"misc-dystopian","dystopian style , bleak, post-apocalyptic, somber, dramatic, highly detailed"
"misc-fairy tale","fairy tale , magical, fantastical, enchanting, storybook style, highly detailed"
"misc-gothic","gothic style , dark, mysterious, haunting, dramatic, ornate, detailed"
"misc-grunge","grunge style , textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy"
"misc-horror","horror-themed , eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed"
"misc-kawaii","kawaii style , cute, adorable, brightly colored, cheerful, anime influence, highly detailed"
"misc-lovecraftian","lovecraftian horror , eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed"
"misc-macabre","macabre style , dark, gothic, grim, haunting, highly detailed"
"misc-manga","manga style , vibrant, high-energy, detailed, iconic, Japanese comic style"
"misc-metropolis","metropolis-themed , urban, cityscape, skyscrapers, modern, futuristic, highly detailed"
"misc-minimalist","minimalist style , simple, clean, uncluttered, modern, elegant"
"misc-monochrome","monochrome , black and white, contrast, tone, texture, detailed"
"misc-nautical","nautical-themed , sea, ocean, ships, maritime, beach, marine life, highly detailed"
"misc-space","space-themed , cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed"
"misc-stained glass","stained glass style , vibrant, beautiful, translucent, intricate, detailed"
"misc-techwear fashion","techwear fashion , futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed"
"misc-tribal","tribal style , indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed"
"misc-zentangle","zentangle , intricate, abstract, monochrome, patterns, meditative, highly detailed"
"papercraft-collage","collage style , mixed media, layered, textural, detailed, artistic"
"papercraft-flat papercut","flat papercut style , silhouette, clean cuts, paper, sharp edges, minimalist, color block"
"papercraft-kirigami","kirigami representation of , 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines"
"papercraft-paper mache","paper mache representation of , 3D, sculptural, textured, handmade, vibrant, fun"
"papercraft-paper quilling","paper quilling art of , intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental"
"papercraft-papercut collage","papercut collage of , mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant"
"papercraft-papercut shadow box","3D papercut shadow box of , layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast"
"papercraft-stacked papercut","stacked papercut art of , 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast"
"papercraft-thick layered papercut","thick layered papercut art of , deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers"
"Abstract Expressionism","Abstract Expressionism Art, , High contrast, minimalistic, colorful, stark, dramatic, expressionism"
"Academia","Academia, , preppy Ivy League style, stark, dramatic, chic boarding school, academia"
"Action Figure","Action Figure, , plastic collectable action figure, collectable toy action figure"
"Adorable 3D Character","Adorable 3D Character, , 3D render, adorable character, 3D art"
"Adorable Kawaii","Adorable Kawaii, , pretty, cute, adorable, kawaii"
"Art Deco","sleek, geometric forms, art deco style"
"Art Nouveau","beautiful art, , sleek, organic forms, long, sinuous, art nouveau style"
"Astral Aura","astral, colorful aura, vibrant energy"
"Avant-garde","unusual, experimental, avant-garde art"
"Baroque","dramatic, exuberant, grandeur, baroque art"
"Bauhaus-Style Poster","simple geometric shapes, clean lines, primary colors, Bauhaus-Style Poster"
"Blueprint Schematic Drawing","technical drawing, blueprint, schematic"
"Caricature","exaggerated, comical, caricature"
"Cel Shaded Art","2D, flat color, toon shading, cel shaded style"
"Character Design Sheet","character reference sheet, character turn around"
"Classicism Art","inspired by Roman and Greek culture, clarity, harmonious, classicism art"
"Color Field Painting","abstract, simple, geometic, color field painting style"
"Colored Pencil Art","colored pencil strokes, light color, visible paper texture, colored pencil art"
"Conceptual Art","concept art"
"Constructivism","minimalistic, geometric forms, constructivism art"
"Cubism","flat geometric forms, cubism art"
"Dadaism","satirical, nonsensical, dadaism art"
"Dark Fantasy","dark, moody, dark fantasy style"
"Dark Moody Atmosphere","dramatic, mysterious, dark moody atmosphere"
"DMT Art Style","bright colors, surreal visuals, swirling patterns, DMT art style"
"Doodle Art","drawing, freeform, swirling patterns, doodle art style"
"Double Exposure","double image ghost effect, image combination, double exposure style"
"Dripping Paint Splatter Art","dramatic, paint drips, splatters, dripping paint"
"Expressionism","movement, contrast, emotional, exaggerated forms, expressionism art style"
"Faded Polaroid Photo","analog, old faded photo, old polaroid"
"Fauvism","painterly, bold colors, textured brushwork, fauvism art"
"Flat 2D Art","simple flat color, 2-dimensional, Flat 2D Art Style"
"Fortnite Art Style","3D cartoon, colorful, Fortnite Art Style"
"Futurism","dynamic, dramatic, Futurism Art Style"
"Glitchcore","dynamic, dramatic, distorted, vibrant colors, glitchcore art style"
"Glo-fi","dynamic, dramatic, vibrant colors, glo-fi art style"
"Googie Art Style","dynamic, dramatic, 1950's futurism, bold boomerang angles, Googie art style"
"Graffiti Art","dynamic, dramatic, vibrant colors, graffiti art style"
